Serial No.		Street Name				Closure type
---------------------------------------------------------------------------------------
1			701 n. sacramento			No Street full closure
2			701 n. sacramento			No Street full closure
3			701 n. sacramento			No Street full closure
4			400 e. lower wacker			No Street full closure
5			701 n. sacramento			No Street full closure
6			701 n. sacramento			No Street full closure
7			701 n. sacramento			No Street full closure
8			701 n. sacramento			No Street full closure
9			701 n. sacramento			No Street full closure
10			10300 s. doty			No Street full closure
11			701 n. sacramento			No Street full closure
12			10300 s. doty			No Street full closure
13			701 n. sacramento			No Street full closure
14			701 n. sacramento			No Street full closure
15			701 n. sacramento			No Street full closure
16			10300 s. doty			No Street full closure
17			701 n. sacramento			No Street full closure
18			701 n. sacramento			No Street full closure
19			701 n. sacramento			No Street full closure
20			701 n. sacramento			No Street full closure
21			701 n. sacramento			No Street full closure
22			701 n. sacramento			No Street full closure
23			701 n. sacramento			No Street full closure
24			400 e. lower wacker			No Street full closure
25			10300 s. doty			No Street full closure
26			701 n. sacramento			No Street full closure
27			701 n. sacramento			No Street full closure
28			701 n. sacramento			No Street full closure
29			701 n. sacramento			No Street full closure
30			10300 s. doty			No Street full closure
31			10300 s. doty			No Street full closure
32			701 n. sacramento			No Street full closure
33			10300 s. doty			No Street full closure
34			701 n. sacramento			No Street full closure
35			701 n. sacramento			No Street full closure
36			701 n. sacramento			No Street full closure
37			701 n. sacramento			No Street full closure
38			400 e. lower wacker			No Street full closure
39			701 n. sacramento			No Street full closure
40			701 n. sacramento			No Street full closure
41			701 n. sacramento			No Street full closure
42			701 n. sacramento			No Street full closure
43			10300 s. doty			No Street full closure
44			701 n. sacramento			No Street full closure
45			701 n. sacramento			No Street full closure
46			701 n. sacramento			No Street full closure
47			701 n. sacramento			No Street full closure
48			10300 s. doty			No Street full closure
49			10300 s. doty			No Street full closure
50			701 n. sacramento			No Street full closure
51			701 n. sacramento			No Street full closure
52			10300 s. doty			No Street full closure
53			701 n. sacramento			No Street full closure
54			701 n. sacramento			No Street full closure
55			701 n. sacramento			No Street full closure
56			10300 s. doty			No Street full closure
57			701 n. sacramento			No Street full closure
58			701 n. sacramento			No Street full closure
59			701 n. sacramento			No Street full closure
60			701 n. sacramento			No Street full closure
61			10300 s. doty			No Street full closure
62			10300 s. doty			No Street full closure
63			701 n. sacramento			No Street full closure
64			400 e. lower wacker			No Street full closure
65			400 e. lower wacker			No Street full closure
66			10300 s. doty			No Street full closure
67			701 n. sacramento			No Street full closure
68			701 n. sacramento			No Street full closure
69			701 n. sacramento			No Street full closure
70			701 n. sacramento			No Street full closure
71			701 n. sacramento			No Street full closure
72			701 n. sacramento			No Street full closure
73			701 n. sacramento			No Street full closure
74			701 n. sacramento			No Street full closure
75			701 n. sacramento			No Street full closure
76			701 n. sacramento			No Street full closure
77			701 n. sacramento			No Street full closure
78			701 n. sacramento			No Street full closure
79			400 e. lower wacker			No Street full closure
80			10300 s. doty			No Street full closure
81			701 n. sacramento			No Street full closure
82			701 n. sacramento			No Street full closure
83			701 n. sacramento			No Street full closure
84			701 n. sacramento			No Street full closure
85			701 n. sacramento			No Street full closure
86			701 n. sacramento			No Street full closure
87			701 n. sacramento			No Street full closure
88			701 n. sacramento			No Street full closure
89			10300 s. doty			No Street full closure
90			701 n. sacramento			No Street full closure
91			10300 s. doty			No Street full closure
92			10300 s. doty			No Street full closure
93			400 e. lower wacker			No Street full closure
94			10300 s. doty			No Street full closure
95			701 n. sacramento			No Street full closure
96			10300 s. doty			No Street full closure
97			10300 s. doty			No Street full closure
98			701 n. sacramento			No Street full closure
99			400 e. lower wacker			No Street full closure
100			701 n. sacramento			No Street full closure
101			701 n. sacramento			No Street full closure
102			701 n. sacramento			No Street full closure
103			701 n. sacramento			No Street full closure
104			400 e. lower wacker			No Street full closure
105			701 n. sacramento			No Street full closure
106			701 n. sacramento			No Street full closure
107			400 e. lower wacker			No Street full closure
108			400 e. lower wacker			No Street full closure
109			701 n. sacramento			No Street full closure
110			701 n. sacramento			No Street full closure
111			701 n. sacramento			No Street full closure
112			400 e. lower wacker			No Street full closure
113			701 n. sacramento			No Street full closure
114			400 e. lower wacker			No Street full closure
115			400 e. lower wacker			No Street full closure
116			701 n. sacramento			No Street full closure
117			10300 s. doty			No Street full closure
118			701 n. sacramento			No Street full closure
119			10300 s. doty			No Street full closure
120			10300 s. doty			No Street full closure
121			701 n. sacramento			No Street full closure
122			10300 s. doty			No Street full closure
123			701 n. sacramento			No Street full closure
124			701 n. sacramento			No Street full closure
125			701 n. sacramento			No Street full closure
126			400 e. lower wacker			No Street full closure
127			10300 s. doty			No Street full closure
128			701 n. sacramento			No Street full closure
129			701 n. sacramento			No Street full closure
130			10300 s. doty			No Street full closure
131			701 n. sacramento			No Street full closure
132			10300 s. doty			No Street full closure
133			701 n. sacramento			No Street full closure
134			10300 s. doty			No Street full closure
135			701 n. sacramento			No Street full closure
136			701 n. sacramento			No Street full closure
137			701 n. sacramento			No Street full closure
138			701 n. sacramento			No Street full closure
139			701 n. sacramento			No Street full closure
140			701 n. sacramento			No Street full closure
141			10300 s. doty			No Street full closure
142			701 n. sacramento			No Street full closure
143			10300 s. doty			No Street full closure
144			701 n. sacramento			No Street full closure
145			10300 s. doty			No Street full closure
146			701 n. sacramento			No Street full closure
147			701 n. sacramento			No Street full closure
148			701 n. sacramento			No Street full closure
149			10300 s. doty			No Street full closure
150			701 n. sacramento			No Street full closure
151			10300 s. doty			No Street full closure
152			701 n. sacramento			No Street full closure
153			701 n. sacramento			No Street full closure
154			701 n. sacramento			No Street full closure
155			701 n. sacramento			No Street full closure
156			701 n. sacramento			No Street full closure
157			10300 s. doty			No Street full closure
158			400 e. lower wacker			No Street full closure
159			10300 s. doty			No Street full closure
160			701 n. sacramento			No Street full closure
161			10300 s. doty			No Street full closure
162			701 n. sacramento			No Street full closure
163			701 n. sacramento			No Street full closure
164			10300 s. doty			No Street full closure
165			701 n. sacramento			No Street full closure
166			10300 s. doty			No Street full closure
167			10300 s. doty			No Street full closure
168			701 n. sacramento			No Street full closure
169			10300 s. doty			No Street full closure
170			701 n. sacramento			No Street full closure
171			701 n. sacramento			No Street full closure
172			10300 s. doty			No Street full closure
173			701 n. sacramento			No Street full closure
174			10300 s. doty			No Street full closure
175			701 n. sacramento			No Street full closure
176			701 n. sacramento			No Street full closure
177			701 n. sacramento			No Street full closure
178			701 n. sacramento			No Street full closure
179			701 n. sacramento			No Street full closure
180			701 n. sacramento			No Street full closure
181			10300 s. doty			No Street full closure
182			701 n. sacramento			No Street full closure
183			701 n. sacramento			No Street full closure
184			701 n. sacramento			No Street full closure
185			400 e. lower wacker			No Street full closure
186			701 n. sacramento			No Street full closure
187			701 n. sacramento			No Street full closure
188			10300 s. doty			No Street full closure
189			10300 s. doty			No Street full closure
190			701 n. sacramento			No Street full closure
191			701 n. sacramento			No Street full closure
192			701 n. sacramento			No Street full closure
193			701 n. sacramento			No Street full closure
194			400 e. lower wacker			No Street full closure
195			701 n. sacramento			No Street full closure
196			701 n. sacramento			No Street full closure
