Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
06/19/2015,ACUR,2D,INT,MAR,,IL,701 N. Sacramento,(773) 265-1846,1533495
06/19/2015,BMW,2D,,SIL,V685160,IL,701 N. Sacramento,(773) 265-7605,6820336
06/19/2015,BMW,4D,,BLK,V510570,IL,701 N. Sacramento,(773) 265-7605,6820399
06/19/2015,BMW,4D,,WHI,S872508,IL,400 E. Lower Wacker,(312) 744-7550,928780
06/19/2015,BUIC,4D,,GRN,995R646,IL,701 N. Sacramento,(773) 265-7605,6820347
06/19/2015,BUIC,4D,,GRY,V660482,IL,701 N. Sacramento,(773) 265-7605,6820350
06/19/2015,BUIC,4D,,SIL,V747258,IL,701 N. Sacramento,(773) 265-7605,6820365
06/19/2015,BUIC,4T,,BLU,TSJ874,IL,701 N. Sacramento,(773) 265-7605,6820363
06/19/2015,BUIC,LL,,BLK,V313533,IL,701 N. Sacramento,(773) 265-7605,6820346
06/19/2015,CADI,4D,,WHI,L933914,IL,10300 S. Doty,(773) 568-8495,2766380
06/19/2015,CADI,4T,,WHI,V689877,IL,701 N. Sacramento,(773) 265-7605,6820349
06/19/2015,CHEV,2D,,BLK,Y721457,IL,10300 S. Doty,(773) 568-8495,2766376
06/19/2015,CHEV,2D,MOC,WHI,A848558,IL,701 N. Sacramento,(773) 265-7605,6820403
06/19/2015,CHEV,4D,,RED,E686408,IL,701 N. Sacramento,(773) 265-7605,6820368
06/19/2015,CHEV,4D,MAL,SIL,9572LE,IL,701 N. Sacramento,(773) 265-7605,6820388
06/19/2015,CHEV,4D,IMP,WHI,V506691,IL,10300 S. Doty,(773) 568-8495,2766393
06/19/2015,CHEV,4D,,LGR,V510370,IL,701 N. Sacramento,(773) 265-7605,6820352
06/19/2015,CHEV,4D,,WHI,R334123,IL,701 N. Sacramento,(773) 265-7605,6820332
06/19/2015,CHEV,4D,,BLK,V688683,IL,701 N. Sacramento,(773) 265-7605,6820380
06/19/2015,CHEV,LL,BLZ,BLK,,IL,701 N. Sacramento,(773) 265-7605,6820394
06/19/2015,CHEV,LL,,BLK,V677299,IL,701 N. Sacramento,(773) 265-7605,6820337
06/19/2015,CHEV,LL,,WHI,R453456,IL,701 N. Sacramento,(773) 265-7605,6820396
06/19/2015,CHEV,LL,TAH,BRO,S373734,IL,701 N. Sacramento,(773) 265-7605,6820382
06/19/2015,CHEV,PK,,RED,337694D,IL,400 E. Lower Wacker,(312) 744-7550,928785
06/19/2015,CHEV,VN,,WHI,H698904,IL,10300 S. Doty,(773) 568-8495,2766387
06/19/2015,CHRY,2H,,COM,5849063,IL,701 N. Sacramento,(773) 265-7605,6820330
06/19/2015,CHRY,4D,300,GRY,E144800,IL,701 N. Sacramento,(773) 265-7605,6820395
06/19/2015,CHRY,LL,,BLK,K665413,IL,701 N. Sacramento,(773) 265-7605,6820379
06/19/2015,CHRY,VN,TOW,TAN,V524659,IL,701 N. Sacramento,(773) 265-7605,6820386
06/19/2015,CHRY,VN,,BLU,E587902,IL,10300 S. Doty,(773) 568-8495,2766375
06/19/2015,DODG,4D,CHA,BLK,VLL536,IN,10300 S. Doty,(773) 568-8495,2766391
06/19/2015,DODG,4D,,BLK,R243229,IL,701 N. Sacramento,(773) 265-7605,6820343
06/19/2015,DODG,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2766386
06/19/2015,DODG,4T,,MAR,3HBV18,MI,701 N. Sacramento,(773) 265-7605,6820335
06/19/2015,DODG,PK,R15,SIL,20502XB,IL,701 N. Sacramento,(773) 265-7605,6820370
06/19/2015,DODG,PK,,WHI,CDK2230,TX,701 N. Sacramento,(773) 265-7605,6820358
06/19/2015,DODG,SW,,SIL,P349327,IL,701 N. Sacramento,(773) 265-7605,6820348
06/19/2015,DODG,VN,,GRY,8125580,IL,400 E. Lower Wacker,(312) 744-7550,928790
06/19/2015,DODG,VN,,BLK,1691046B,IL,701 N. Sacramento,(773) 265-7605,6820344
06/19/2015,DODG,VN,,MAR,L2492K,IL,701 N. Sacramento,(773) 265-7605,6820338
06/19/2015,FORD,2D,MUS,BLK,S628757,IL,701 N. Sacramento,(773) 265-7605,6820397
06/19/2015,FORD,4D,,WHI,E143048,IL,701 N. Sacramento,(773) 265-7605,6820356
06/19/2015,FORD,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2766389
06/19/2015,FORD,4D,,WHI,V793866,IL,701 N. Sacramento,(773) 265-7605,6820384
06/19/2015,FORD,4D,,GRY,E708748,IL,701 N. Sacramento,(773) 265-7605,6820342
06/19/2015,FORD,4D,VIC,BLK,E311923,IL,701 N. Sacramento,(773) 265-7605,6820369
06/19/2015,FORD,4D,TAU,RED,S490676,IL,701 N. Sacramento,(773) 265-7605,6820392
06/19/2015,FORD,4D,FOC,RED,E414007,IL,10300 S. Doty,(773) 568-8495,2766390
06/19/2015,FORD,4D,,TAN,926R430,IL,10300 S. Doty,(773) 568-8495,2766394
06/19/2015,FORD,LL,,BLK,V788712,IL,701 N. Sacramento,(773) 265-7605,6820364
06/19/2015,FORD,LL,,RED,V151289,IL,701 N. Sacramento,(773) 265-7605,6820351
06/19/2015,FORD,LL,,RED,083REM,MN,10300 S. Doty,(773) 568-8495,2766382
06/19/2015,FORD,LL,,GRY,V258930,IL,701 N. Sacramento,(773) 265-7605,6820377
06/19/2015,FORD,LL,EXP,GRY,L429362,IL,701 N. Sacramento,(773) 265-7605,6820401
06/19/2015,FORD,LL,,GLD,V517923,IL,701 N. Sacramento,(773) 265-7605,6820360
06/19/2015,FORD,VN,,BRZ,1275727B,IL,10300 S. Doty,(773) 568-8495,2766383
06/19/2015,FORD,VN,WIN,BLU,R223521,IL,701 N. Sacramento,(773) 265-7605,6820390
06/19/2015,FORD,,EC2,WHI,KX1710,WI,701 N. Sacramento,(773) 265-1846,1533496
06/19/2015,FORD,,300,WHI,46463FB,IL,701 N. Sacramento,(773) 265-7605,6820400
06/19/2015,GMC,LL,JMY,GRY,N842158,IL,701 N. Sacramento,(773) 265-7605,6820376
06/19/2015,GMC,VN,,GRN,V408461,IL,10300 S. Doty,(773) 568-8495,2766384
06/19/2015,HOND,2D,,BLK,S715137,IL,10300 S. Doty,(773) 568-8495,2766374
06/19/2015,HOND,4D,ACC,GRY,R188828,IL,701 N. Sacramento,(773) 265-7605,6820375
06/19/2015,HOND,4D,,GRY,AGL816,MI,400 E. Lower Wacker,(312) 744-7550,928764
06/19/2015,HOND,4D,,BLK,H146776,IL,400 E. Lower Wacker,(312) 744-7550,928787
06/19/2015,HOND,4D,,TAN,E648440,IL,10300 S. Doty,(773) 785-9752,928788
06/19/2015,HOND,4T,,GRY,E539167,IL,701 N. Sacramento,(773) 265-7605,6820361
06/19/2015,HOND,4T,,SIL,R608511,IL,701 N. Sacramento,(773) 265-7605,6820359
06/19/2015,HOND,LL,,BLK,V780877,IL,701 N. Sacramento,(773) 265-7605,6820404
06/19/2015,HOND,VN,ODY,SIL,E292919,IL,701 N. Sacramento,(773) 265-7605,6820385
06/19/2015,HOND,VN,ODY,GRY,S915925,IL,701 N. Sacramento,(773) 265-7605,6820387
06/19/2015,HYUN,4D,,WHI,R545738,IL,701 N. Sacramento,(773) 265-7605,6820331
06/19/2015,HYUN,4D,SON,SIL,TURKMEN,IL,701 N. Sacramento,(773) 265-7605,6820406
06/19/2015,HYUN,LL,,WHI,R212634,IL,701 N. Sacramento,(773) 265-7605,6820341
06/19/2015,INFI,4D,,GRY,R459196,IL,701 N. Sacramento,(773) 265-7605,6820398
06/19/2015,JEEP,LL,,SIL,S725402,IL,701 N. Sacramento,(773) 265-7605,6820362
06/19/2015,JEEP,LL,CHE,GRY,V897162,IL,701 N. Sacramento,(773) 265-7605,6820383
06/19/2015,JEEP,LL,CHE,BLU,V768694,IL,701 N. Sacramento,(773) 265-7605,6820371
06/19/2015,KIA,4D,,BLK,P582119,IL,400 E. Lower Wacker,(312) 744-7550,928774
06/19/2015,KIA,4D,,BLK,910BXV,MN,10300 S. Doty,(773) 568-8495,2766378
06/19/2015,LEXS,4D,,BLU,P142867,IL,701 N. Sacramento,(773) 265-7605,6820393
06/19/2015,MAZD,4D,323,GRY,A510644,IL,701 N. Sacramento,(773) 265-7605,6820366
06/19/2015,MAZD,LL,,GRY,V507919,IL,701 N. Sacramento,(773) 265-7605,6820345
06/19/2015,MAZD,LL,,MAR,X884634,IL,701 N. Sacramento,(773) 265-7605,6820367
06/19/2015,MAZD,LL,,GRY,V476761,IL,701 N. Sacramento,(773) 265-7605,6820329
06/19/2015,MERC,4D,MAR,GRY,R477727,IL,701 N. Sacramento,(773) 265-7605,6820373
06/19/2015,MERC,4T,,BLU,S991573,IL,701 N. Sacramento,(773) 265-7605,6820354
06/19/2015,MITS,4D,GAL,GRY,R451027,IL,701 N. Sacramento,(773) 265-7605,6820374
06/19/2015,NISS,4D,,SIL,S957137,IL,10300 S. Doty,(773) 568-8495,2766385
06/19/2015,NISS,4D,,GRY,V515805,IL,701 N. Sacramento,(773) 265-7605,6820378
06/19/2015,NISS,4D,,BLK,E748166,IL,10300 S. Doty,(773) 568-8495,2766388
06/19/2015,NISS,4D,,BLK,N922991,IL,10300 S. Doty,(773) 568-8495,2766377
06/19/2015,NISS,4D,,GRY,S655735,IL,400 E. Lower Wacker,(312) 744-7550,928777
06/19/2015,NISS,4D,,WHI,K728499,IL,10300 S. Doty,(773) 568-8495,2766373
06/19/2015,PLYM,4D,,RED,Y747426,IL,701 N. Sacramento,(773) 265-7605,6820328
06/19/2015,PONT,2D,,GRY,8628941,IL,10300 S. Doty,(773) 568-8495,2766381
06/19/2015,PONT,2T,,RED,E396439,IL,10300 S. Doty,(773) 568-8495,2766379
06/19/2015,PONT,LL,,GLD,R986923,IL,701 N. Sacramento,(773) 265-7605,6820340
06/19/2015,SATR,2D,,BLK,KHULVEY,IL,400 E. Lower Wacker,(312) 744-7550,928789
06/19/2015,TOYT,2D,CAM,BLK,F64FAU,NJ,701 N. Sacramento,(773) 265-7605,6820389
06/19/2015,TOYT,2D,,WHI,V990677,IL,701 N. Sacramento,(773) 265-7605,6820391
06/19/2015,TOYT,2D,,SIL,9613536,IL,701 N. Sacramento,(773) 265-7605,6820381
06/19/2015,TOYT,2T,,GRY,E285287,IL,701 N. Sacramento,(773) 265-7605,6820355
06/19/2015,TOYT,4D,,SIL,ESTWST5,IL,400 E. Lower Wacker,(312) 744-7550,928773
06/19/2015,TOYT,4D,AVA,GRN,R211087,IL,701 N. Sacramento,(773) 265-7605,6820372
06/19/2015,TOYT,4D,,BGE,E689220,IL,701 N. Sacramento,(773) 265-7605,6820353
06/19/2015,TOYT,4D,,GRY,A587231,IL,400 E. Lower Wacker,(312) 744-7550,928772
06/19/2015,TOYT,4D,,SIL,S734535,IL,400 E. Lower Wacker,(312) 744-7550,928775
06/19/2015,TOYT,LL,,SIL,V829379,IL,701 N. Sacramento,(773) 265-7605,6820339
06/19/2015,TOYT,LL,,SIL,V761883,IL,701 N. Sacramento,(773) 265-7605,6820402
06/19/2015,TOYT,VN,SNA,GRN,N382469,IL,701 N. Sacramento,(773) 265-7605,6820405
06/19/2015,VOLK,2D,,SIL,N937792,IL,400 E. Lower Wacker,(312) 744-7550,928791
06/19/2015,VOLK,4D,JET,BLK,V425989,IL,701 N. Sacramento,(773) 265-7605,6820407
06/19/2015,VOLK,4D,,BLK,9457170,IL,400 E. Lower Wacker,(312) 744-7550,928782
06/19/2015,VOLK,4D,,BLK,BHHU43,FL,400 E. Lower Wacker,(312) 744-7550,928786
06/19/2015,VOLK,4T,,BLK,E294670,IL,701 N. Sacramento,(773) 265-7605,6820333
06/19/2015,VOLV,4D,,RED,E154456,IL,10300 S. Doty,(773) 568-8495,2766392
06/19/2015,VOLV,4T,,BLU,E362131,IL,701 N. Sacramento,(773) 265-7605,6820357
06/18/2015,ACUR,2D,,SIL,V324362,IL,10300 S. Doty,(773) 785-9752,1715313
06/18/2015,ACUR,4D,,GRN,CW36EH,NJ,10300 S. Doty,(773) 568-8495,2766351
06/18/2015,AUDI,4D,,GRY,S987668,IL,701 N. Sacramento,(773) 265-7605,6820313
06/18/2015,AUDI,4D,,GRY,V986383,IL,10300 S. Doty,(773) 568-8495,2766359
06/18/2015,BMW,4D,,BLU,,IL,701 N. Sacramento,(773) 265-1846,1533492
06/18/2015,BMW,4D,,SIL,K740270,IL,701 N. Sacramento,(773) 265-7605,6820311
06/18/2015,BUIC,4D,,GRY,P128187,IL,701 N. Sacramento,(773) 265-7605,6820301
06/18/2015,BUIC,4D,,WHI,E702751,IL,400 E. Lower Wacker,(312) 744-7550,928697
06/18/2015,BUIC,4D,,TAN,175S320,IL,10300 S. Doty,(773) 568-8495,2766344
